date,total_pnl,avg_pnl,num_trades,win_rate,fg_score,classification
2024-06-14,10258.592609,330.9223422258064,31,0.4838709677419355,74.0,Greed
2024-06-15,3369.958346,43.20459417948718,78,0.48717948717948717,74.0,Greed
2024-06-16,0.0,0.0,11,0.0,71.0,Greed
2024-06-17,10599.502375,278.9342730263158,38,0.6578947368421053,71.0,Greed
2024-06-18,282.57636,11.3030544,25,0.16,74.0,Greed
2024-06-19,4887.656944,80.12552367213115,61,0.5081967213114754,64.0,Greed
2024-06-20,57478.456026,1473.8065647692308,39,0.20512820512820512,60.0,Greed
2024-06-21,773.5582039999999,9.66947755,80,0.0375,63.0,Greed
2024-06-22,756.876565,31.536523541666668,24,0.3333333333333333,53.0,Neutral
2024-06-23,0.0,0.0,5,0.0,55.0,Greed
2024-06-24,0.0,0.0,31,0.0,51.0,Neutral
2024-06-25,4869.353105,99.3745531632653,49,0.22448979591836735,30.0,Fear
2024-06-26,4197.732182,58.30183586111111,72,0.2916666666666667,46.0,Neutral
2024-06-27,0.0,0.0,30,0.0,40.0,Fear
2024-06-29,6150.326145,82.0043486,75,0.32,30.0,Fear
2024-06-30,0.0,0.0,14,0.0,47.0,Neutral
2024-07-01,5065.839308,79.1537391875,64,0.40625,53.0,Neutral
2024-07-02,2421.253116,134.514062,18,0.7222222222222222,51.0,Neutral
2024-07-03,1118.387284,62.132626888888886,18,0.2222222222222222,50.0,Neutral
2024-07-04,0.0,0.0,25,0.0,44.0,Fear
2024-07-05,0.0,0.0,32,0.0,29.0,Fear
2024-07-06,108.87217799999999,4.53634075,24,0.2916666666666667,26.0,Fear
2024-07-07,61.428942,6.1428942,10,1.0,29.0,Fear
2024-07-08,0.0,0.0,1,0.0,28.0,Fear
2024-07-09,648.984412,43.265627466666665,15,1.0,27.0,Fear
2024-07-10,11977.734907,213.88812333928573,56,0.6785714285714286,28.0,Fear
2024-07-11,1876.812082,98.77958326315789,19,0.47368421052631576,29.0,Fear
2024-07-12,1412.314654,74.33235021052631,19,0.47368421052631576,25.0,Fear
2024-07-13,2913.617837,171.38928452941175,17,1.0,25.0,Fear
2024-07-14,0.0,0.0,7,0.0,33.0,Fear
2024-07-15,-1.0,-0.038461538461538464,26,0.0,52.0,Neutral
2024-07-16,0.0,0.0,22,0.0,65.0,Greed
2024-07-17,1859.269477,5.297064037037037,351,0.4131054131054131,69.0,Greed
2024-07-18,3803.884311,63.398071849999994,60,0.8,61.0,Greed
2024-07-19,2155.891114,93.73439626086956,23,0.5217391304347826,60.0,Greed
2024-07-20,2299.169566,8.643494609022557,266,0.12406015037593984,74.0,Greed
2024-07-21,-2960.716887,-6.608743051339286,448,0.046875,74.0,Greed
2024-07-22,1517.119876,9.851427766233765,154,0.14285714285714285,70.0,Greed
2024-07-23,89890.302206,242.9467627189189,370,0.8891891891891892,71.0,Greed
2024-07-24,625.561479,6.9506831,90,0.2,69.0,Greed
2024-07-25,916.7382600000001,11.753054615384617,78,0.1282051282051282,68.0,Greed
2024-07-26,2766.513113,18.200744164473683,152,0.40131578947368424,68.0,Greed
2024-07-27,6400.623656,112.2916430877193,57,0.7368421052631579,72.0,Greed
2024-07-28,587.29903,36.706189375,16,0.75,71.0,Greed
2024-07-29,330.80445399999996,8.482165487179486,39,0.41025641025641024,74.0,Greed
2024-07-30,0.0,0.0,6,0.0,67.0,Greed
2024-07-31,765.690884,17.806764744186047,43,0.32558139534883723,61.0,Greed
2024-08-01,167.080017,2.9312283684210527,57,0.07017543859649122,52.0,Neutral
2024-08-02,782.3681909999999,12.418542714285714,63,0.2698412698412698,57.0,Greed
2024-08-03,464.1897,12.545667567567568,37,0.02702702702702703,37.0,Fear
2024-08-04,-122672.000883,-965.9212667952756,127,0.023622047244094488,34.0,Fear
2024-08-05,-13013.665169,-162.6708146125,80,0.4125,26.0,Fear
2024-08-06,267.318048,2.4982995140186914,107,0.12149532710280374,17.0,Extreme Fear
2024-08-07,188.789255,5.720886515151515,33,0.30303030303030304,29.0,Fear
2024-08-08,-40.712216999999995,-4.5235796666666666,9,0.0,20.0,Extreme Fear
2024-08-09,18082.071276,125.56993941666666,144,0.2986111111111111,48.0,Neutral
2024-08-10,0.0,0.0,88,0.0,40.0,Fear
2024-08-11,847.7766200000001,35.32402583333334,24,0.16666666666666666,39.0,Fear
2024-08-12,858.6705000000001,17.88896875,48,0.125,25.0,Fear
2024-08-13,212.08102,9.220913913043479,23,0.34782608695652173,31.0,Fear
2024-08-14,2168.9015130000003,86.75606052,25,0.2,30.0,Fear
2024-08-15,0.0,0.0,12,0.0,29.0,Fear
2024-08-16,825.230544,23.578015542857145,35,0.08571428571428572,27.0,Fear
2024-08-17,-288.283113,-9.609437100000001,30,0.0,25.0,Fear
2024-08-18,307.201888,20.480125866666665,15,0.8,31.0,Fear
2024-08-19,339.69958299999996,42.462447874999995,8,0.625,28.0,Fear
2024-08-20,192.602844,16.050237,12,0.08333333333333333,30.0,Fear
2024-08-21,656.200925,4.525523620689655,145,0.3724137931034483,26.0,Fear
2024-08-23,1005.30527,100.53052699999999,10,0.3,34.0,Fear
2024-08-24,0.0,0.0,7,0.0,56.0,Greed
2024-08-25,0.0,0.0,17,0.0,54.0,Neutral
2024-08-26,231.236918,38.539486333333336,6,0.3333333333333333,55.0,Greed
2024-08-27,0.0,0.0,50,0.0,48.0,Neutral
2024-08-28,1333.359645,148.15107166666667,9,0.2222222222222222,30.0,Fear
2024-08-29,0.0,0.0,1,0.0,29.0,Fear
2024-08-30,256.464,42.744,6,0.16666666666666666,34.0,Fear
2024-08-31,10.882801,0.3200823823529412,34,0.35294117647058826,29.0,Fear
2024-09-01,137.433093,11.452757750000002,12,0.4166666666666667,26.0,Fear
2024-09-02,0.0,0.0,2,0.0,26.0,Fear
2024-09-04,1065.785132,31.346621529411763,34,0.14705882352941177,27.0,Fear
2024-09-05,0.0,0.0,1,0.0,29.0,Fear
2024-09-06,-1104.856765,-26.306113452380952,42,0.0,22.0,Extreme Fear
2024-09-08,0.0,0.0,1,0.0,29.0,Fear
2024-09-09,0.0,0.0,2,0.0,26.0,Fear
2024-09-10,-219.729659,-73.24321966666666,3,0.0,33.0,Fear
2024-09-11,0.0,0.0,1,0.0,37.0,Fear
2024-09-14,0.0,0.0,11,0.0,50.0,Neutral
2024-09-18,-878.684794,-6.059895131034483,145,0.0,45.0,Neutral
2024-09-19,0.0,0.0,19,0.0,49.0,Neutral
2024-09-20,9585.03428,599.0646425,16,0.5,54.0,Neutral
2024-09-21,36165.56933,1572.416057826087,23,1.0,54.0,Neutral
2024-09-22,0.0,0.0,3,0.0,52.0,Neutral
2024-09-23,334.760796,167.380398,2,0.5,50.0,Neutral
2024-09-24,0.0,0.0,10,0.0,54.0,Neutral
2024-09-25,0.0,0.0,9,0.0,59.0,Greed
2024-09-26,439.812513,54.976564125,8,0.25,50.0,Neutral
2024-09-27,0.0,0.0,56,0.0,61.0,Greed
2024-09-28,0.0,0.0,4,0.0,64.0,Greed
2024-09-30,2710.626288,25.571946113207545,106,0.04716981132075472,61.0,Greed
2024-10-01,0.0,0.0,4,0.0,50.0,Neutral
2024-10-02,0.0,0.0,4,0.0,42.0,Fear
2024-10-03,100.375782,11.152864666666666,9,0.3333333333333333,37.0,Fear
2024-10-04,0.0,0.0,1,0.0,41.0,Fear
2024-10-05,5767.161892,155.86924032432432,37,0.6486486486486487,49.0,Neutral
2024-10-06,130.487079,5.9312308636363635,22,0.22727272727272727,50.0,Neutral
2024-10-07,0.0,0.0,21,0.0,50.0,Neutral
2024-10-08,5396.546638,149.90407327777777,36,0.9166666666666666,49.0,Neutral
2024-10-09,396.06272,28.290194285714286,14,0.21428571428571427,49.0,Neutral
2024-10-10,0.0,0.0,16,0.0,39.0,Fear
2024-10-11,8885.327477,341.74336450000004,26,0.6923076923076923,32.0,Fear
2024-10-12,541.55471,54.155471,10,0.7,49.0,Neutral
2024-10-13,0.0,0.0,10,0.0,50.0,Neutral
2024-10-14,1913.61958,382.72391600000003,5,1.0,48.0,Neutral
2024-10-15,1170.2260760000001,167.17515371428573,7,0.5714285714285714,65.0,Greed
2024-10-16,219.480876,19.95280690909091,11,0.2727272727272727,73.0,Greed
2024-10-17,36.11496,4.0127733333333335,9,0.1111111111111111,71.0,Greed
2024-10-18,333.219141,55.536523499999994,6,0.8333333333333334,73.0,Greed
2024-10-19,0.0,0.0,4,0.0,72.0,Greed
2024-10-20,389.155797,4.05370621875,96,0.11458333333333333,73.0,Greed
2024-10-21,2464.915564,14.248066843930635,173,0.3930635838150289,72.0,Greed
2024-10-22,0.0,0.0,3,0.0,70.0,Greed
2024-10-23,-46.489941,-2.5827745,18,0.0,71.0,Greed
2024-10-25,13235.862071,441.19540236666666,30,0.7,72.0,Greed
2024-10-26,42471.99413,7078.6656883333335,6,1.0,,
2024-10-27,666.6623079999999,166.66557699999998,4,0.75,74.0,Greed
2024-10-28,167.28016200000002,12.867704769230771,13,0.3076923076923077,72.0,Greed
2024-10-29,801.170876,15.11643162264151,53,0.05660377358490566,72.0,Greed
2024-10-30,9.150023,0.36600091999999995,25,0.28,77.0,Extreme Greed
2024-10-31,1214.043811,25.292579395833332,48,0.7083333333333334,77.0,Extreme Greed
2024-11-01,1040.475736,45.238075478260875,23,0.2608695652173913,75.0,Extreme Greed
2024-11-02,0.0,0.0,2,0.0,72.0,Greed
2024-11-03,0.0,0.0,6,0.0,74.0,Greed
2024-11-04,2799.410474,77.76140205555555,36,0.6388888888888888,70.0,Greed
2024-11-05,678.4759280000001,67.8475928,10,0.5,70.0,Greed
2024-11-06,2817.83723,187.85581533333334,15,0.4666666666666667,70.0,Greed
